area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Shampura,4,,2650,4,2,150
Super built-up  Area,22-Dec,Devanahalli,3,Sabixtt,1282,2,2,68.52
Built-up  Area,Ready To Move,Kadugodi,2,,1050,2,1,34
Built-up  Area,Ready To Move,LB Shastri Nagar,3,Sragei ,1600,3,2,65
Super built-up  Area,22-Jan,Vajarahalli,2,,945,2,1,54
Super built-up  Area,Ready To Move,Hormavu,2,SyidaCr,1500,2,1,78
Plot  Area,Ready To Move,Vishwapriya Layout,7,,950,7,0,115
Built-up  Area,Ready To Move,Peenya,3,Jahts H,1870,3,3,110
Plot  Area,Ready To Move,Sarjapur,3,Inensba,1600,3,1,75
Super built-up  Area,Ready To Move,Electronic City,2,Itelaa ,880,1,1,16.5
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4,,1200,4,0,210
Super built-up  Area,Ready To Move,Kudlu Gate,3,Srier P,1535,3,2,83
Built-up  Area,Ready To Move,Kanakpura Road,2,Wiowsri,950,2,1,57
Super built-up  Area,18-Aug,Devanahalli,2,Derdsig,1360,2,1,65
Super built-up  Area,19-Mar,8th Phase JP Nagar,2,Vaarech,1042 - 1105,2,0,54.005
Super built-up  Area,18-May,Bommasandra Industrial Area,3,,1280,3,1,50.4
Super built-up  Area,19-Jan,Chandra Layout,3,TiaksAa,1260,2,2,85.05
Built-up  Area,Ready To Move,Hennur Road,8,,5000,8,,250
Super built-up  Area,19-Dec,Yelahanka,5,LedorSa,3050,5,1,213
Super built-up  Area,Ready To Move,Kasavanhalli,3,HMwerCo,1563.05,3,1,105
Super built-up  Area,Ready To Move,ISRO Layout,2,,1000,2,1,60
Super built-up  Area,17-Jul,Anandapura,2,ViensRK,1167,2,1,43.76
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7,,4000,7,2,225
Super built-up  Area,Ready To Move,Kothanur,3,Somumys,1828,3,,110
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,HoiewLa,890,2,1,35
Super built-up  Area,Ready To Move,Basavanapura,3,Dwity T,1612,3,3,46.74
Plot  Area,Ready To Move,Dinnur,6,,1034,5,,185
Super built-up  Area,19-Apr,Mysore Road,3,Brama P,1710,4,2,91.31
Super built-up  Area,Ready To Move,Kannamangala,2,VBownre,957,2,1,58
Super built-up  Area,18-May, Devarachikkanahalli,3,,1250,2,3,44
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3,Betatsi,2795,4,,235
Super built-up  Area,Ready To Move,Hulimavu,2,Prcan P,1125,2,2,50
Super built-up  Area,18-Jul,Electronic City Phase II,2,Sryalan,1020,2,1,30.6
Super built-up  Area,Ready To Move,Kalena Agrahara,2,,1200,2,2,50
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1735,3,3,135
Super built-up  Area,Ready To Move,Thanisandra,3,G conTh,2050,3,1,145
Plot  Area,Ready To Move,Mahalakshmi Layout,4,,3750,4,0,760
Built-up  Area,Ready To Move,Yarandahalli,3,,1350,2,3,48
Super built-up  Area,18-May,Hosa Road,2,SStusan,1063,2,1,32
Super built-up  Area,Ready To Move,Keshava Nagar,3,ETens G,1904,3,1,150
Built-up  Area,Ready To Move,Whitefield,4,,4200,4,2,420
Super built-up  Area,Ready To Move,RMV Extension,3,Hohnari,2000,3,1,175
Super built-up  Area,18-Dec,Sarjapur,2,Kinuerg,1145 - 1340,2,0,43.49
Super built-up  Area,Ready To Move,Tejaswini Nagar,3,Naods W,1425,2,2,75
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1500,2,1,64.5
Built-up  Area,Ready To Move,Electronic City,2,GMown E,1060,2,1,60
Built-up  Area,Ready To Move,Jai Bheema Nagar,3,Sancyra,1470,2,2,70
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6,,1300,6,0,99
Super built-up  Area,Ready To Move,Attibele,1,Jae 1hu,450,1,1,11
Super built-up  Area,18-Apr,Electronic City,2,Prarkun,1152,2,1,64.5
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1350,2,1,56
Super built-up  Area,Ready To Move,CV Raman Nagar,3,Srshq T,1550,3,3,65
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3,,1500,3,2,100
Plot  Area,Ready To Move,Kumaraswami Layout,5,,600,3,2,85
Plot  Area,Ready To Move,Nagavara,1,,400,1,0,14
Super built-up  Area,Ready To Move,Malleshwaram,1,Utntspa,705,1,2,67
Built-up  Area,Ready To Move,Electronic City,2,GMown E,770,1,1,36
Super built-up  Area,Ready To Move,Hulimavu,2,Aniona ,1242,2,3,51
Super built-up  Area,Ready To Move,Hebbal Kempapura,3,Goateds,1700,3,2,155
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,2144,3,2,145
Super built-up  Area,21-Jun,Vijayanagar,3,Saahaat,1704,3,2,110
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,52
Plot  Area,Ready To Move,8th block Koramangala,3,,1846,3,2,300
Super built-up  Area,Ready To Move,Jakkuru Layout,2,,1340,2,2,55.7
Built-up  Area,Ready To Move,Electronic City,2,GMown E,1025,2,1,46
Super built-up  Area,Ready To Move,KR Puram,2,MCvarar,1015 - 1540,2,0,56.8
Super built-up  Area,Ready To Move,Marathahalli,2,VRave E,1200,2,2,52
Built-up  Area,18-Dec,Kanakpura Road,4,,2250,4,1,110
Super built-up  Area,Ready To Move,Pattandur Agrahara,3,MaidoPl,1550,2,3,80
Plot  Area,Ready To Move,Bellandur,4,,1200,5,,325
Plot  Area,Ready To Move,Ejipura,7,,1800,7,1,250
Super built-up  Area,Ready To Move,Marathahalli,2,Aiitya ,1200,2,2,60
Super built-up  Area,Ready To Move,Yelahanka,2,PuziaVe,1327,2,2,98
Super built-up  Area,Ready To Move,Kothanur,2,,1186,2,2,58
Built-up  Area,Ready To Move,MS Pallya,3,,1783,3,1,115
Super built-up  Area,Ready To Move,HSR Layout,3,NRosete,1400,3,2,56
Super built-up  Area,Ready To Move,Nagasandra,2,,980,2,1,48
Super built-up  Area,Ready To Move,EPIP Zone,2,,1285,2,2,82
Super built-up  Area,Ready To Move,Langford Town,3,,912,2,1,70
Built-up  Area,Ready To Move,Whitefield,2,Sancya ,1225,2,2,47.6
Super built-up  Area,Ready To Move,Whitefield,2,,1075,2,1,53
Built-up  Area,Ready To Move,Kadugodi,3,MSingco,1260,2,2,54
Super built-up  Area,Ready To Move,Yelahanka,3,Pyikad ,1282,2,2,48.7
Super built-up  Area,Ready To Move,Kogilu,3,CaIRSCr,1909,3,2,88
Super built-up  Area,Ready To Move,Panathur,2,Prcesvy,1359,2,1,87
Built-up  Area,Ready To Move,Nagondanahalli,2,,1207,2,2,43.5
Plot  Area,Ready To Move,Padmanabhanagar,4,,1736,6,0,190
Super built-up  Area,20-May,1st Block Jayanagar,4,,2850,4,1,428
Super built-up  Area,Ready To Move,Kammasandra,3,Emstael,1595,3,2,65
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3,,1798,3,2,89
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,SNdri N,1475,3,2,78.29
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3,HodhiSa,1580,3,3,100
Super built-up  Area,Ready To Move,Dasarahalli,2,Syonyph,1295,2,1,65
Built-up  Area,Ready To Move,Magadi Road,6,,3600,6,0,141
Super built-up  Area,Ready To Move,Electronic City,1,Itvir M,589,1,1,27
Super built-up  Area,Ready To Move,Ngef Layout,3,,1415,3,3,78
Super built-up  Area,18-Dec,Sarjapur  Road,3,Klark L,1787,3,2,98.29
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Klark L,1787,3,2,125
Super built-up  Area,Ready To Move,Koramangala,3,Piityra,1475,2,3,90
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4,,2000,4,1,75.5
Super built-up  Area,19-Mar,Sarjapur  Road,2,AsastDe,984,2,1,44.28
Super built-up  Area,19-Dec,Devanahalli,3,Jurdsig,1520 - 1740,,,74.82
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3,MacleK ,2405,4,2,260
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,Brnia G,1080,2,2,72
Plot  Area,Ready To Move,Shantiniketan Layout,2,,1500,2,1,115
Super built-up  Area,Ready To Move,Hebbal,3,,1900,3,2,119
Super built-up  Area,19-Aug,Dommasandra,2,,805,2,1,22.14
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1153,2,2,56.4
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2,AlEcone,1148,2,2,60
Super built-up  Area,Ready To Move,Mylasandra,2,Laowsba,1110,2,2,55
Built-up  Area,Ready To Move,Electronic City,2,Saave R,1100,2,2,42
Super built-up  Area,Ready To Move,Kalyan nagar,2,Anave S,1290,2,2,110
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3,,1500,2,1,65
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2,,1080,2,2,39
Super built-up  Area,21-Jun,Vijayanagar,3,Saityat,1933,3,1,129
Built-up  Area,Ready To Move,Ramamurthy Nagar,5,,3500,5,2,150
Built-up  Area,Ready To Move,Kullappa Colony,2,,1060,2,2,60
Super built-up  Area,18-Aug,Chandapura,1,SunceEs,645,1,1,16.45
Plot  Area,Ready To Move,Mukkutam Nagar,8,,2600,8,2,180
Super built-up  Area,18-Sep,Chandapura,1,SunceEs,645,1,1,16.45
Super built-up  Area,Ready To Move,Ashwath Nagar,3,SJcerpe,1644,3,3,84
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2,Supams ,1285,2,3,72.5
Plot  Area,Ready To Move,Electronic City,3,,1200,3,1,90
Super built-up  Area,Ready To Move,Electronic City,2,CoapeSo,910,2,1,40
Super built-up  Area,Ready To Move,Kothanur,3,Bisic C,1577,3,1,70
Plot  Area,17-May,Meenakunte,3,Sreat R,4050,3,2,280
Super built-up  Area,Ready To Move,OMBR Layout,3,Inntsa ,2420,3,2,185
Super built-up  Area,Ready To Move,Chandapura,2,KHityry,800,1,1,20
Built-up  Area,Ready To Move,Anand Nagar,2,,1060,2,2,55
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,BriumMi,1270,2,2,93
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2,,900,2,2,22.5
Built-up  Area,Ready To Move,Kundalahalli Colony,2,,1280,2,1,69
Plot  Area,Ready To Move,Horamavu Agara,4,,1200,2,0,95
Built-up  Area,Ready To Move,Sarjapur  Road,2,,1025,2,2,36
Super built-up  Area,17-Jun,Electronic City,2,Prarkun,1108,2,1,63
Plot  Area,Ready To Move,MCECHS  layout,5,,1200,5,,170
Super built-up  Area,Ready To Move,Coffee Board Layout,3,Calyxy ,3045,3,2,170
Plot  Area,Ready To Move,Ambedkar Nagar,4,Thessrm,2900,3,2,300
Super built-up  Area,Ready To Move,Vijayanagar,3,JJortom,1500,3,2,75.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,2,43.9
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1162,2,1,59.9
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Usquaya,1035,2,2,49.2
Built-up  Area,Ready To Move,Attibele,4,Natic T,1600,4,0,52.8
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3,,1464,3,2,46
Super built-up  Area,18-Oct,Hennur Road,3,DSapeSk,1866,2,2,61.58
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2,Jahtsa ,700,1,1,26
Super built-up  Area,Ready To Move,Kalena Agrahara,3,Prillot,1804,3,2,120
Super built-up  Area,Ready To Move,Sarjapur,2,,913,2,1,32
Super built-up  Area,21-Dec,Talaghattapura,3,Sodgere,1868,3,2,131
Built-up  Area,Ready To Move,Kengeri Satellite Town,2,,883,2,1,45
Plot  Area,Ready To Move,Sundara Nagar,2,,900,2,1,110
Super built-up  Area,Ready To Move,Kogilu,3,,1664,2,3,73.95
Super built-up  Area,Ready To Move,Hegde Nagar,3,SoitaCa,2026,3,2,132
Super built-up  Area,Ready To Move,Balagere,2,Soestin,1210,2,1,80.9
Plot  Area,Ready To Move,Meenakunte,4,Sreat R,4111,4,2,250
Super built-up  Area,Ready To Move,Kadugodi,3,Alestrb,1762,3,3,91.45
Super built-up  Area,Ready To Move,Jigani,3,DLhtsen,1252,3,3,55
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2,Mauner ,861,2,1,34.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,Brnia G,1420,2,1,100
Plot  Area,Ready To Move,Srirampura,6,,1450,6,0,250
Built-up  Area,Ready To Move,Electronics City Phase 1,3,GaicaVe,1490,3,1,78.8
Super built-up  Area,Ready To Move,Bisuvanahalli,3,,1075,2,1,46
Super built-up  Area,18-Aug,Old Madras Road,3,Saesttt,1425,2,2,94
Built-up  Area,Ready To Move,Kalena Agrahara,2,Nae 2El,1200,2,1,40
Super built-up  Area,Ready To Move,Kaggadasapura,3,,1280,2,2,56
Super built-up  Area,Ready To Move,Silver Springs Layout,2,Bhinglv,1084,2,2,50
Super built-up  Area,18-Jul,Chandapura,2,SunceEs,1015,2,2,25.88
Super built-up  Area,21-May,Kanakpura Road,2,GolusLi,1017,2,1,51.25
Super built-up  Area,Ready To Move,Haralur Road,2,,1027,2,2,44
Super built-up  Area,Ready To Move,Electronic City Phase II,2,Coush W,1069,2,2,45
Super built-up  Area,Ready To Move,Hebbal,2,Prersis,1349,2,1,98.2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2,NaensGa,1005,2,1,50
Super built-up  Area,Ready To Move,Jakkur,2,Arzzo P,1417,2,3,75
Plot  Area,18-Jan,TC Palaya,3,,1475,3,1,98
Carpet  Area,Ready To Move,Maruthi Sevanagar,2,SMikaay,950,2,2,47
Super built-up  Area,Ready To Move,RMV 2nd Stage,4,Prave E,2000,4,0,120
Plot  Area,Ready To Move,Giri Nagar,3,,880,3,1,140
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Ahriaup,1863,3,2,104
Super built-up  Area,Ready To Move,Singasandra,2,Priewhi,1010,2,1,29.5
Super built-up  Area,Ready To Move,Kalena Agrahara,3,Shodsth,1425,2,1,70
Super built-up  Area,Ready To Move,Vijayanagar,3,Swadeh ,1450,3,0,100
Super built-up  Area,Ready To Move,Kothanur,3,Somumys,1847,3,2,105
Super built-up  Area,Ready To Move,AECS Layout,2,Soran U,1100,2,3,45
Super built-up  Area,20-Dec,Kanakpura Road,1,PrarePa,525,1,1,26
Super built-up  Area,Ready To Move,Mallasandra,3,Puestig,1665,3,2,95
Super built-up  Area,Ready To Move,Begur,4,Prntsrt,1664,4,3,65
Super built-up  Area,Ready To Move,JP Nagar,3,Maerar ,1850,3,3,150
Super built-up  Area,Ready To Move,Panathur,2,Vaesh T,1438,2,3,100
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3,MaisePa,1560,3,3,115
Super built-up  Area,18-Apr,Yelahanka,2,,1350,2,1,55.55
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1550,3,3,67
Super built-up  Area,18-Apr,Malleshpalya,2,,1140,2,2,46.5
Plot  Area,Ready To Move,Srirampura,5,,1200,5,2,180
Super built-up  Area,18-Dec,Kodathi,2,,850,2,2,27
Super built-up  Area,Ready To Move,Whitefield,2,Gotis A,1280,2,2,75
Built-up  Area,Ready To Move,Munnekollal,2,,1170,2,2,52
Super built-up  Area,Ready To Move,Motappa Layout,2,Puodse ,1113,2,1,51
Super built-up  Area,Ready To Move,Hennur Road,2,Mileeou,1385,2,1,83.09
Super built-up  Area,18-Apr,Electronic City,2,Prarkun,1128,2,1,65
Plot  Area,Ready To Move,Marathahalli,2,,1200,2,2,128
Plot  Area,Ready To Move,Akshaya Vana,4,,1200,4,3,165
Super built-up  Area,Ready To Move,Rajaji Nagar,3,PhestOn,2390,3,2,415
Plot  Area,Ready To Move,Giri Nagar,4,,2400,4,1,400
Super built-up  Area,Ready To Move,Haralur Road,3,NRowse ,1464,3,2,56
Super built-up  Area,Ready To Move,Manayata Tech Park,2,,1200,2,2,55
Super built-up  Area,Ready To Move,Kaval Byrasandra,2,Abncy R,1200,2,2,52
Super built-up  Area,Ready To Move,Kaggalipura,3,Baowsig,1150,2,1,55
Built-up  Area,Ready To Move,Basavanna Nagar,3,Itala A,1645,3,2,95
Super built-up  Area,20-Mar,Sarjapur  Road,2,,1000,2,1,67
Plot  Area,Ready To Move,Haralur Road,4,,2650,4,2,198
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,HMinebo,1192,2,2,74
Super built-up  Area,Ready To Move,Ulsoor,3,K borja,2135,3,2,215
Super built-up  Area,19-Dec,Whitefield,2,Oreldhi,1173,2,1,58
Built-up  Area,Ready To Move,Uttarahalli,2,Sungspr,1020,2,2,45
Super built-up  Area,Ready To Move,Thigalarapalya,4,Prtanha,3122,6,2,230
Super built-up  Area,Ready To Move,Somasundara Palya,3,,1600,3,3,64
Plot  Area,18-Mar,T.C PALYA,2,,1200,2,0,79
Carpet  Area,Ready To Move,Muneshwara Nagar,2,,1230,2,3,48
Super built-up  Area,Ready To Move, Devarachikkanahalli,2,Clntsrt,1250,2,2,40
Super built-up  Area,Ready To Move,Kalena Agrahara,2,PuamaPa,1325,2,2,76
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,Brngsal,1850,3,1,150
Super built-up  Area,21-Dec,Kanakpura Road,1,PrarePa,525,,,21.53
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2,,1200,2,2,65
Plot  Area,Ready To Move,Bull Temple Road,3,,1350,2,0,140
Super built-up  Area,18-Jun,Bommasandra,3,SSestth,1260,3,1,49.36
Super built-up  Area,Ready To Move,Prashanth Nagar,3,Vancy R,1800,3,0,150
Plot  Area,18-Dec,Suragajakkanahalli,3,PrhyaK ,11,3,2,74
Built-up  Area,Ready To Move,Ardendale,2,Miwel M,1100,2,1,43.25
Super built-up  Area,Ready To Move,Harlur,2,SrEndPo,1508,2,1,77
Carpet  Area,Ready To Move,Sampigehalli,3,Puens G,1592,3,2,75
Super built-up  Area,Ready To Move,Akshaya Nagar,2,SagasSa,1388,2,3,57
